053047.1+055653.3|0126 01899 1|4.4
053047.1+055653.3|0126 01899 2|5.8
054245.8+055040.2|0127 00038 1|7.8
054403.3+063056.3|0127 00450 1|7.5
054336.5+065318.6|0127 00743 1|7.2
053812.0+060012.6|0127 00852 1|7.3
053737.1+060643.2|0127 01030 1|7.7
055217.0+071945.8|0128 00227 1|7.7
054500.5+062101.5|0128 01103 1|7.2
054525.5+061752.4|0128 01185 1|7.2
055226.9+061233.9|0128 01442 1|7.0
054800.2+062714.5|0128 01551 1|6.0
054800.2+062714.5|0128 01551 2|6.0
055455.5+055138.8|0129 00818 1|6.9
055326.4+061520.5|0129 01094 1|7.3
060020.7+014732.4|0130 00222 1|8.0
060659.4+000437.1|0130 00807 1|7.4
060714.4+013030.1|0130 01056 1|7.5
060522.7+003646.2|0130 01409 1|7.2
060508.6+005159.4|0130 01430 1|7.1
060217.1+014138.6|0130 02194 1|6.6
060946.8+005849.9|0131 03213 1|7.8
062048.5+004452.6|0132 00142 1|7.6
061736.2+014629.8|0132 00333 1|7.7
061554.0+011008.7|0132 01009 1|6.4
062059.2+001422.4|0132 01264 1|8.0
061758.7+001329.1|0132 01364 1|7.7
061703.8+014113.2|0132 01433 1|7.3
061614.8+000054.9|0132 01552 1|7.5
061621.1+010449.2|0132 01964 1|6.6
061531.8+005005.9|0132 02052 1|7.3
062709.2+000806.1|0133 00319 1|7.8
062852.4+000740.7|0133 00599 1|6.5
062518.5+013005.5|0133 01307 1|6.7
062238.2+011122.9|0133 01525 1|8.0
062643.4+002715.2|0133 01848 1|7.0
062658.8+005027.7|0133 01965 1|6.7
062551.4+004845.8|0133 01972 1|6.7
062713.8+001757.3|0133 02047 1|5.3
060723.4+030530.1|0134 00447 1|7.8
060049.3+025457.6|0134 00567 1|7.1
060502.2+020637.1|0134 00934 1|7.6
060131.2+025433.3|0134 01130 1|7.2
060131.3+031111.4|0134 01150 1|7.2
060358.1+025151.7|0134 01176 1|7.3
060654.7+021023.0|0134 01673 1|7.2
061410.4+023428.6|0135 00015 1|7.8
061437.3+021724.0|0135 00116 1|7.2
061103.1+021949.8|0135 00363 1|7.3
061023.8+025406.7|0135 00563 1|6.8
061352.8+024831.9|0135 00837 1|7.5
060949.1+025210.1|0135 01028 1|6.7
061009.3+031847.2|0135 01050 1|7.6
